python3 -m cProfile -s cumtime src/main.py >> profile.txt
         1015011 function calls (1009599 primitive calls) in 7.412 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.007    0.003 sessions.py:690(merge_environment_settings)
        1    0.000    0.000    0.007    0.007 coroutines.py:1(<module>)
     3600    0.007    0.000    0.007    0.000 streams.py:207(_drain_helper)
        1    0.000    0.000    0.007    0.007 _iri.py:9(<module>)
       40    0.007    0.000    0.007    0.000 {built-in method posix.listdir}
     3251    0.007    0.000    0.007    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      340    0.003    0.000    0.007    0.000 inspect.py:485(unwrap)
        1    0.000    0.000    0.007    0.007 core.py:47(<module>)
      737    0.003    0.000    0.007    0.000 _weakrefset.py:58(__iter__)
        1    0.000    0.000    0.007    0.007 models.py:8(<module>)
        1    0.000    0.000    0.007    0.007 dis.py:1(<module>)
        2    0.000    0.000    0.006    0.003 utils.py:755(get_environ_proxies)
        1    0.000    0.000    0.006    0.006 request.py:941(AbstractBasicAuthHandler)
     3653    0.006    0.000    0.006    0.000 battle.py:335(battle_tag)
     3649    0.006    0.000    0.006    0.000 {method 'bit_length' of 'int' objects}
     1695    0.006    0.000    0.006    0.000 _weakrefset.py:70(__contains__)
      372    0.004    0.000    0.006    0.000 pokemon.py:98(set_form)
     3104    0.006    0.000    0.006    0.000 {method 'rpartition' of 'str' objects}
        2    0.000    0.000    0.006    0.003 pyopenssl.py:236(<listcomp>)
        4    0.000    0.000    0.006    0.001 request.py:2458(getproxies_environment)
      204    0.001    0.000    0.006    0.000 _collections_abc.py:742(__iter__)
        6    0.000    0.000    0.006    0.001 pyopenssl.py:157(_dnsname_to_stdlib)
        2    0.000    0.000    0.006    0.003 models.py:307(prepare)
      618    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
        6    0.000    0.000    0.006    0.001 pyopenssl.py:170(idna_encode)
     3600    0.006    0.000    0.006    0.000 streams.py:381(exception)
       40    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
       13    0.000    0.000    0.006    0.000 player_network.py:77(challenge)
